"id","vendor_id","supplier_id","name","description","notes"
150,150,150,"J","J","J"
151,151,151,"K","K","K"
152,152,152,"L","L","L"
153,153,153,"M","M","M"
154,154,154,"N","N","N"
155,155,155,"O","O","O"
156,156,156,"P","P","P"
157,157,157,"Q","Q","Q"
158,158,158,"R","R","R"
159,159,159,"S","S","S"
160,160,160,"T","T","T"
161,161,161,"A","A","A"
162,162,162,"B","B","B"
163,163,163,"C","C","C"
164,164,164,"D","D","D"
165,165,165,"E","E","E"
166,166,166,"F","F","F"
167,167,167,"G","G","G"
168,168,168,"H","H","H"
169,169,169,"I","I","I"
170,170,170,"J","J","J"
171,171,171,"K","K","K"
172,172,172,"L","L","L"
173,173,173,"M","M","M"
174,174,174,"N","N","N"
175,175,175,"O","O","O"
176,176,176,"P","P","P"
177,177,177,"Q","Q","Q"
178,178,178,"R","R","R"
179,179,179,"S","S","S"
180,180,180,"T","T","T"
181,181,181,"A","A","A"
182,182,182,"B","B","B"
183,183,183,"C","C","C"
184,184,184,"D","D","D"
185,185,185,"E","E","E"
186,186,186,"F","F","F"
187,187,187,"G","G","G"
188,188,188,"H","H","H"
189,189,189,"I","I","I"
190,190,190,"J","J","J"
191,191,191,"K","K","K"
192,192,192,"L","L","L"
193,193,193,"M","M","M"
194,194,194,"N","N","N"
195,195,195,"O","O","O"
196,196,196,"P","P","P"
197,197,197,"Q","Q","Q"
198,198,198,"R","R","R"
199,199,199,"S","S","S"
200,200,200,"T","T","T"
201,201,201,"A","A","A"
202,202,202,"B","B","B"
203,203,203,"C","C","C"
204,204,204,"D","D","D"
205,205,205,"E","E","E"
206,206,206,"F","F","F"
207,207,207,"G","G","G"
208,208,208,"H","H","H"
209,209,209,"I","I","I"
210,210,210,"J","J","J"
211,211,211,"K","K","K"
212,212,212,"L","L","L"
213,213,213,"M","M","M"
214,214,214,"N","N","N"
215,215,215,"O","O","O"
216,216,216,"P","P","P"
217,217,217,"Q","Q","Q"
218,218,218,"R","R","R"
219,219,219,"S","S","S"
220,220,220,"T","T","T"
221,221,221,"A","A","A"
222,222,222,"B","B","B"
223,223,223,"C","C","C"
224,224,224,"D","D","D"
225,225,225,"E","E","E"
226,226,226,"F","F","F"
227,227,227,"G","G","G"
228,228,228,"H","H","H"
229,229,229,"I","I","I"
230,230,230,"J","J","J"
231,231,231,"K","K","K"
232,232,232,"L","L","L"
233,233,233,"M","M","M"
234,234,234,"N","N","N"
235,235,235,"O","O","O"
236,236,236,"P","P","P"
237,237,237,"Q","Q","Q"
238,238,238,"R","R","R"
239,239,239,"S","S","S"
240,240,240,"T","T","T"
241,241,241,"A","A","A"
242,242,242,"B","B","B"
243,243,243,"C","C","C"
244,244,244,"D","D","D"
245,245,245,"E","E","E"
246,246,246,"F","F","F"
247,247,247,"G","G","G"
248,248,248,"H","H","H"
249,249,249,"I","I","I"
250,250,250,"J","J","J"
251,251,251,"K","K","K"
252,252,252,"L","L","L"
253,253,253,"M","M","M"
254,254,254,"N","N","N"
255,255,255,"O","O","O"
256,256,256,"P","P","P"
257,257,257,"Q","Q","Q"
258,258,258,"R","R","R"
259,259,259,"S","S","S"
260,260,260,"T","T","T"
261,261,261,"A","A","A"
262,262,262,"B","B","B"
263,263,263,"C","C","C"
264,264,264,"D","D","D"
265,265,265,"E","E","E"
266,266,266,"F","F","F"
267,267,267,"G","G","G"
268,268,268,"H","H","H"
269,269,269,"I","I","I"
270,270,270,"J","J","J"
271,271,271,"K","K","K"
272,272,272,"L","L","L"
273,273,273,"M","M","M"
274,274,274,"N","N","N"
275,275,275,"O","O","O"
276,276,276,"P","P","P"
277,277,277,"Q","Q","Q"
278,278,278,"R","R","R"
279,279,279,"S","S","S"
280,280,280,"T","T","T"
281,281,281,"A","A","A"
282,282,282,"B","B","B"
283,283,283,"C","C","C"
284,284,284,"D","D","D"
285,285,285,"E","E","E"
286,286,286,"F","F","F"
287,287,287,"G","G","G"
288,288,288,"H","H","H"
289,289,289,"I","I","I"
290,290,290,"J","J","J"
291,291,291,"K","K","K"
292,292,292,"L","L","L"
293,293,293,"M","M","M"
294,294,294,"N","N","N"
295,295,295,"O","O","O"
296,296,296,"P","P","P"
297,297,297,"Q","Q","Q"
298,298,298,"R","R","R"
299,299,299,"S","S","S"
300,300,300,"T","T","T"
301,301,301,"A","A","A"
302,302,302,"B","B","B"
303,303,303,"C","C","C"
304,304,304,"D","D","D"
305,305,305,"E","E","E"
306,306,306,"F","F","F"
307,307,307,"G","G","G"
308,308,308,"H","H","H"
309,309,309,"I","I","I"
310,310,310,"J","J","J"
311,311,311,"K","K","K"
312,312,312,"L","L","L"
313,313,313,"M","M","M"
314,314,314,"N","N","N"
315,315,315,"O","O","O"
316,316,316,"P","P","P"
317,317,317,"Q","Q","Q"
318,318,318,"R","R","R"
319,319,319,"S","S","S"
320,320,320,"T","T","T"
321,321,321,"A","A","A"
322,322,322,"B","B","B"
323,323,323,"C","C","C"
324,324,324,"D","D","D"
325,325,325,"E","E","E"
326,326,326,"F","F","F"
327,327,327,"G","G","G"
328,328,328,"H","H","H"
329,329,329,"I","I","I"
330,330,330,"J","J","J"
331,331,331,"K","K","K"
332,332,332,"L","L","L"
333,333,333,"M","M","M"
334,334,334,"N","N","N"
335,335,335,"O","O","O"
336,336,336,"P","P","P"
337,337,337,"Q","Q","Q"
338,338,338,"R","R","R"
339,339,339,"S","S","S"
340,340,340,"T","T","T"
341,341,341,"A","A","A"
342,342,342,"B","B","B"
343,343,343,"C","C","C"
344,344,344,"D","D","D"
345,345,345,"E","E","E"
346,346,346,"F","F","F"
347,347,347,"G","G","G"
348,348,348,"H","H","H"
349,349,349,"I","I","I"
350,350,350,"J","J","J"
351,351,351,"K","K","K"
352,352,352,"L","L","L"
353,353,353,"M","M","M"
354,354,354,"N","N","N"
355,355,355,"O","O","O"
356,356,356,"P","P","P"
357,357,357,"Q","Q","Q"
358,358,358,"R","R","R"
359,359,359,"S","S","S"
360,360,360,"T","T","T"
361,361,361,"A","A","A"
362,362,362,"B","B","B"
363,363,363,"C","C","C"
364,364,364,"D","D","D"
365,365,365,"E","E","E"
366,366,366,"F","F","F"
367,367,367,"G","G","G"
368,368,368,"H","H","H"
369,369,369,"I","I","I"
370,370,370,"J","J","J"
371,371,371,"K","K","K"
372,372,372,"L","L","L"
373,373,373,"M","M","M"
374,374,374,"N","N","N"
375,375,375,"O","O","O"
376,376,376,"P","P","P"
377,377,377,"Q","Q","Q"
378,378,378,"R","R","R"
379,379,379,"S","S","S"
380,380,380,"T","T","T"
381,381,381,"A","A","A"
382,382,382,"B","B","B"
383,383,383,"C","C","C"
384,384,384,"D","D","D"
385,385,385,"E","E","E"
386,386,386,"F","F","F"
387,387,387,"G","G","G"
388,388,388,"H","H","H"
389,389,389,"I","I","I"
390,390,390,"J","J","J"
391,391,391,"K","K","K"
392,392,392,"L","L","L"
393,393,393,"M","M","M"
394,394,394,"N","N","N"
395,395,395,"O","O","O"
396,396,396,"P","P","P"
397,397,397,"Q","Q","Q"
398,398,398,"R","R","R"
399,399,399,"S","S","S"
400,400,400,"T","T","T"
401,401,401,"A","A","A"
402,402,402,"B","B","B"
403,403,403,"C","C","C"
404,404,404,"D","D","D"
405,405,405,"E","E","E"
406,406,406,"F","F","F"
407,407,407,"G","G","G"
408,408,408,"H","H","H"
409,409,409,"I","I","I"
410,410,410,"J","J","J"
411,411,411,"K","K","K"
412,412,412,"L","L","L"
413,413,413,"M","M","M"
414,414,414,"N","N","N"
415,415,415,"O","O","O"
416,416,416,"P","P","P"
417,417,417,"Q","Q","Q"
418,418,418,"R","R","R"
419,419,419,"S","S","S"
420,420,420,"T","T","T"
421,421,421,"A","A","A"
422,422,422,"B","B","B"
423,423,423,"C","C","C"
424,424,424,"D","D","D"
425,425,425,"E","E","E"
426,426,426,"F","F","F"
427,427,427,"G","G","G"
428,428,428,"H","H","H"
429,429,429,"I","I","I"
430,430,430,"J","J","J"
431,431,431,"K","K","K"
432,432,432,"L","L","L"
433,433,433,"M","M","M"
434,434,434,"N","N","N"
435,435,435,"O","O","O"
436,436,436,"P","P","P"
437,437,437,"Q","Q","Q"
438,438,438,"R","R","R"
439,439,439,"S","S","S"
440,440,440,"T","T","T"
441,441,441,"A","A","A"
442,442,442,"B","B","B"
443,443,443,"C","C","C"
444,444,444,"D","D","D"
445,445,445,"E","E","E"
446,446,446,"F","F","F"
447,447,447,"G","G","G"
448,448,448,"H","H","H"
449,449,449,"I","I","I"
450,450,450,"J","J","J"
451,451,451,"K","K","K"
452,452,452,"L","L","L"
453,453,453,"M","M","M"
454,454,454,"N","N","N"
455,455,455,"O","O","O"
456,456,456,"P","P","P"
457,457,457,"Q","Q","Q"
458,458,458,"R","R","R"
459,459,459,"S","S","S"
460,460,460,"T","T","T"
461,461,461,"A","A","A"
462,462,462,"B","B","B"
463,463,463,"C","C","C"
464,464,464,"D","D","D"
465,465,465,"E","E","E"
466,466,466,"F","F","F"
467,467,467,"G","G","G"
468,468,468,"H","H","H"
469,469,469,"I","I","I"
470,470,470,"J","J","J"
471,471,471,"K","K","K"
472,472,472,"L","L","L"
473,473,473,"M","M","M"
474,474,474,"N","N","N"
475,475,475,"O","O","O"
476,476,476,"P","P","P"
477,477,477,"Q","Q","Q"
478,478,478,"R","R","R"
479,479,479,"S","S","S"
480,480,480,"T","T","T"
481,481,481,"A","A","A"
482,482,482,"B","B","B"
483,483,483,"C","C","C"
484,484,484,"D","D","D"
485,485,485,"E","E","E"
486,486,486,"F","F","F"
487,487,487,"G","G","G"
488,488,488,"H","H","H"
489,489,489,"I","I","I"
490,490,490,"J","J","J"
491,491,491,"K","K","K"
492,492,492,"L","L","L"
493,493,493,"M","M","M"
494,494,494,"N","N","N"
495,495,495,"O","O","O"
496,496,496,"P","P","P"
497,497,497,"Q","Q","Q"
498,498,498,"R","R","R"
499,499,499,"S","S","S"
500,500,500,"T","T","T"
501,501,501,"A","A","A"
502,502,502,"B","B","B"
503,503,503,"C","C","C"
504,504,504,"D","D","D"
505,505,505,"E","E","E"
506,506,506,"F","F","F"
507,507,507,"G","G","G"
508,508,508,"H","H","H"
509,509,509,"I","I","I"
510,510,510,"J","J","J"
511,511,511,"K","K","K"
512,512,512,"L","L","L"
513,513,513,"M","M","M"
514,514,514,"N","N","N"
515,515,515,"O","O","O"
516,516,516,"P","P","P"
517,517,517,"Q","Q","Q"
518,518,518,"R","R","R"
519,519,519,"S","S","S"
520,520,520,"T","T","T"
521,521,521,"A","A","A"
522,522,522,"B","B","B"
523,523,523,"C","C","C"
524,524,524,"D","D","D"
525,525,525,"E","E","E"
526,526,526,"F","F","F"
527,527,527,"G","G","G"
528,528,528,"H","H","H"
529,529,529,"I","I","I"
530,530,530,"J","J","J"
531,531,531,"K","K","K"
532,532,532,"L","L","L"
533,533,533,"M","M","M"
534,534,534,"N","N","N"
535,535,535,"O","O","O"
536,536,536,"P","P","P"
537,537,537,"Q","Q","Q"
538,538,538,"R","R","R"
539,539,539,"S","S","S"
540,540,540,"T","T","T"
541,541,541,"A","A","A"
542,542,542,"B","B","B"
543,543,543,"C","C","C"
544,544,544,"D","D","D"
545,545,545,"E","E","E"
546,546,546,"F","F","F"
547,547,547,"G","G","G"
548,548,548,"H","H","H"
549,549,549,"I","I","I"
550,550,550,"J","J","J"
551,551,551,"K","K","K"
552,552,552,"L","L","L"
553,553,553,"M","M","M"
554,554,554,"N","N","N"
555,555,555,"O","O","O"
556,556,556,"P","P","P"
557,557,557,"Q","Q","Q"
558,558,558,"R","R","R"
559,559,559,"S","S","S"
560,560,560,"T","T","T"
561,561,561,"A","A","A"
562,562,562,"B","B","B"
563,563,563,"C","C","C"
564,564,564,"D","D","D"
565,565,565,"E","E","E"
566,566,566,"F","F","F"
567,567,567,"G","G","G"
568,568,568,"H","H","H"
569,569,569,"I","I","I"
570,570,570,"J","J","J"
571,571,571,"K","K","K"
572,572,572,"L","L","L"
573,573,573,"M","M","M"
574,574,574,"N","N","N"
575,575,575,"O","O","O"
576,576,576,"P","P","P"
577,577,577,"Q","Q","Q"
578,578,578,"R","R","R"
579,579,579,"S","S","S"
580,580,580,"T","T","T"
581,581,581,"A","A","A"
582,582,582,"B","B","B"
583,583,583,"C","C","C"
584,584,584,"D","D","D"
585,585,585,"E","E","E"
586,586,586,"F","F","F"
587,587,587,"G","G","G"
588,588,588,"H","H","H"
589,589,589,"I","I","I"
590,590,590,"J","J","J"
591,591,591,"K","K","K"
592,592,592,"L","L","L"
593,593,593,"M","M","M"
594,594,594,"N","N","N"
595,595,595,"O","O","O"
596,596,596,"P","P","P"
597,597,597,"Q","Q","Q"
598,598,598,"R","R","R"
599,599,599,"S","S","S"
600,600,600,"T","T","T"
601,601,601,"A","A","A"
602,602,602,"B","B","B"
603,603,603,"C","C","C"
604,604,604,"D","D","D"
605,605,605,"E","E","E"
606,606,606,"F","F","F"
607,607,607,"G","G","G"
608,608,608,"H","H","H"
609,609,609,"I","I","I"
610,610,610,"J","J","J"
611,611,611,"K","K","K"
612,612,612,"L","L","L"
613,613,613,"M","M","M"
614,614,614,"N","N","N"
615,615,615,"O","O","O"
616,616,616,"P","P","P"
617,617,617,"Q","Q","Q"
618,618,618,"R","R","R"
619,619,619,"S","S","S"
620,620,620,"T","T","T"
621,621,621,"A","A","A"
622,622,622,"B","B","B"
623,623,623,"C","C","C"
624,624,624,"D","D","D"
625,625,625,"E","E","E"
626,626,626,"F","F","F"
627,627,627,"G","G","G"
628,628,628,"H","H","H"
629,629,629,"I","I","I"
630,630,630,"J","J","J"
631,631,631,"K","K","K"
632,632,632,"L","L","L"
633,633,633,"M","M","M"
634,634,634,"N","N","N"
635,635,635,"O","O","O"
636,636,636,"P","P","P"
637,637,637,"Q","Q","Q"
638,638,638,"R","R","R"
639,639,639,"S","S","S"
640,640,640,"T","T","T"
641,641,641,"A","A","A"
642,642,642,"B","B","B"
643,643,643,"C","C","C"
644,644,644,"D","D","D"
645,645,645,"E","E","E"
646,646,646,"F","F","F"
647,647,647,"G","G","G"
648,648,648,"H","H","H"
649,649,649,"I","I","I"
650,650,650,"J","J","J"
651,651,651,"K","K","K"
652,652,652,"L","L","L"
653,653,653,"M","M","M"
654,654,654,"N","N","N"
655,655,655,"O","O","O"
656,656,656,"P","P","P"
657,657,657,"Q","Q","Q"
658,658,658,"R","R","R"
659,659,659,"S","S","S"
660,660,660,"T","T","T"
661,661,661,"A","A","A"
662,662,662,"B","B","B"
663,663,663,"C","C","C"
664,664,664,"D","D","D"
665,665,665,"E","E","E"
666,666,666,"F","F","F"
667,667,667,"G","G","G"
668,668,668,"H","H","H"
669,669,669,"I","I","I"
670,670,670,"J","J","J"
671,671,671,"K","K","K"
672,672,672,"L","L","L"
673,673,673,"M","M","M"
674,674,674,"N","N","N"
675,675,675,"O","O","O"
676,676,676,"P","P","P"
677,677,677,"Q","Q","Q"
678,678,678,"R","R","R"
679,679,679,"S","S","S"
680,680,680,"T","T","T"
681,681,681,"A","A","A"
682,682,682,"B","B","B"
683,683,683,"C","C","C"
684,684,684,"D","D","D"
685,685,685,"E","E","E"
686,686,686,"F","F","F"
687,687,687,"G","G","G"
688,688,688,"H","H","H"
689,689,689,"I","I","I"
690,690,690,"J","J","J"
691,691,691,"K","K","K"
692,692,692,"L","L","L"
693,693,693,"M","M","M"
694,694,694,"N","N","N"
695,695,695,"O","O","O"
696,696,696,"P","P","P"
697,697,697,"Q","Q","Q"
698,698,698,"R","R","R"
699,699,699,"S","S","S"
700,700,700,"T","T","T"
701,701,701,"A","A","A"
702,702,702,"B","B","B"
703,703,703,"C","C","C"
704,704,704,"D","D","D"
705,705,705,"E","E","E"
706,706,706,"F","F","F"
707,707,707,"G","G","G"
708,708,708,"H","H","H"
709,709,709,"I","I","I"
710,710,710,"J","J","J"
711,711,711,"K","K","K"
712,712,712,"L","L","L"
713,713,713,"M","M","M"
714,714,714,"N","N","N"
715,715,715,"O","O","O"
716,716,716,"P","P","P"
717,717,717,"Q","Q","Q"
718,718,718,"R","R","R"
719,719,719,"S","S","S"
720,720,720,"T","T","T"
721,721,721,"A","A","A"
722,722,722,"B","B","B"
723,723,723,"C","C","C"
724,724,724,"D","D","D"
725,725,725,"E","E","E"
726,726,726,"F","F","F"
727,727,727,"G","G","G"
728,728,728,"H","H","H"
729,729,729,"I","I","I"
730,730,730,"J","J","J"
731,731,731,"K","K","K"
732,732,732,"L","L","L"
733,733,733,"M","M","M"
734,734,734,"N","N","N"
735,735,735,"O","O","O"
736,736,736,"P","P","P"
737,737,737,"Q","Q","Q"
738,738,738,"R","R","R"
739,739,739,"S","S","S"
740,740,740,"T","T","T"
741,741,741,"A","A","A"
742,742,742,"B","B","B"
743,743,743,"C","C","C"
744,744,744,"D","D","D"
745,745,745,"E","E","E"
746,746,746,"F","F","F"
747,747,747,"G","G","G"
748,748,748,"H","H","H"
749,749,749,"I","I","I"
750,750,750,"J","J","J"
751,751,751,"K","K","K"
752,752,752,"L","L","L"
753,753,753,"M","M","M"
754,754,754,"N","N","N"
755,755,755,"O","O","O"
756,756,756,"P","P","P"
757,757,757,"Q","Q","Q"
758,758,758,"R","R","R"
759,759,759,"S","S","S"
760,760,760,"T","T","T"
761,761,761,"A","A","A"
762,762,762,"B","B","B"
763,763,763,"C","C","C"
764,764,764,"D","D","D"
765,765,765,"E","E","E"
766,766,766,"F","F","F"
767,767,767,"G","G","G"
768,768,768,"H","H","H"
769,769,769,"I","I","I"
770,770,770,"J","J","J"
771,771,771,"K","K","K"
772,772,772,"L","L","L"
773,773,773,"M","M","M"
774,774,774,"N","N","N"
775,775,775,"O","O","O"
776,776,776,"P","P","P"
777,777,777,"Q","Q","Q"
778,778,778,"R","R","R"
779,779,779,"S","S","S"
780,780,780,"T","T","T"
781,781,781,"A","A","A"
782,782,782,"B","B","B"
783,783,783,"C","C","C"
784,784,784,"D","D","D"
785,785,785,"E","E","E"
786,786,786,"F","F","F"
787,787,787,"G","G","G"
788,788,788,"H","H","H"
789,789,789,"I","I","I"
790,790,790,"J","J","J"
791,791,791,"K","K","K"
792,792,792,"L","L","L"
793,793,793,"M","M","M"
794,794,794,"N","N","N"
795,795,795,"O","O","O"
796,796,796,"P","P","P"
797,797,797,"Q","Q","Q"
798,798,798,"R","R","R"
799,799,799,"S","S","S"
800,800,800,"T","T","T"
801,801,801,"A","A","A"
802,802,802,"B","B","B"
803,803,803,"C","C","C"
804,804,804,"D","D","D"
805,805,805,"E","E","E"
806,806,806,"F","F","F"
807,807,807,"G","G","G"
808,808,808,"H","H","H"
809,809,809,"I","I","I"
810,810,810,"J","J","J"
811,811,811,"K","K","K"
812,812,812,"L","L","L"
813,813,813,"M","M","M"
814,814,814,"N","N","N"
815,815,815,"O","O","O"
816,816,816,"P","P","P"
817,817,817,"Q","Q","Q"
818,818,818,"R","R","R"
819,819,819,"S","S","S"
820,820,820,"T","T","T"
821,821,821,"A","A","A"
822,822,822,"B","B","B"
823,823,823,"C","C","C"
824,824,824,"D","D","D"
825,825,825,"E","E","E"
826,826,826,"F","F","F"
827,827,827,"G","G","G"
828,828,828,"H","H","H"
829,829,829,"I","I","I"
830,830,830,"J","J","J"
831,831,831,"K","K","K"
832,832,832,"L","L","L"
833,833,833,"M","M","M"
834,834,834,"N","N","N"
835,835,835,"O","O","O"
836,836,836,"P","P","P"
837,837,837,"Q","Q","Q"
838,838,838,"R","R","R"
839,839,839,"S","S","S"
840,840,840,"T","T","T"
841,841,841,"A","A","A"
842,842,842,"B","B","B"
843,843,843,"C","C","C"
844,844,844,"D","D","D"
845,845,845,"E","E","E"
846,846,846,"F","F","F"
847,847,847,"G","G","G"
848,848,848,"H","H","H"
849,849,849,"I","I","I"
850,850,850,"J","J","J"
851,851,851,"K","K","K"
852,852,852,"L","L","L"
853,853,853,"M","M","M"
854,854,854,"N","N","N"
855,855,855,"O","O","O"
856,856,856,"P","P","P"
857,857,857,"Q","Q","Q"
858,858,858,"R","R","R"
859,859,859,"S","S","S"
860,860,860,"T","T","T"
861,861,861,"A","A","A"
862,862,862,"B","B","B"
863,863,863,"C","C","C"
864,864,864,"D","D","D"
865,865,865,"E","E","E"
866,866,866,"F","F","F"
867,867,867,"G","G","G"
868,868,868,"H","H","H"
869,869,869,"I","I","I"
870,870,870,"J","J","J"
871,871,871,"K","K","K"
872,872,872,"L","L","L"
873,873,873,"M","M","M"
874,874,874,"N","N","N"
875,875,875,"O","O","O"
876,876,876,"P","P","P"
877,877,877,"Q","Q","Q"
878,878,878,"R","R","R"
879,879,879,"S","S","S"
880,880,880,"T","T","T"
881,881,881,"A","A","A"
882,882,882,"B","B","B"
883,883,883,"C","C","C"
884,884,884,"D","D","D"
885,885,885,"E","E","E"
886,886,886,"F","F","F"
887,887,887,"G","G","G"
888,888,888,"H","H","H"
889,889,889,"I","I","I"
890,890,890,"J","J","J"
891,891,891,"K","K","K"
892,892,892,"L","L","L"
893,893,893,"M","M","M"
894,894,894,"N","N","N"
895,895,895,"O","O","O"
896,896,896,"P","P","P"
897,897,897,"Q","Q","Q"
898,898,898,"R","R","R"
899,899,899,"S","S","S"
900,900,900,"T","T","T"
901,901,901,"A","A","A"
902,902,902,"B","B","B"
903,903,903,"C","C","C"
904,904,904,"D","D","D"
905,905,905,"E","E","E"
906,906,906,"F","F","F"
907,907,907,"G","G","G"
908,908,908,"H","H","H"
909,909,909,"I","I","I"
910,910,910,"J","J","J"
911,911,911,"K","K","K"
912,912,912,"L","L","L"
913,913,913,"M","M","M"
914,914,914,"N","N","N"
915,915,915,"O","O","O"
916,916,916,"P","P","P"
917,917,917,"Q","Q","Q"
918,918,918,"R","R","R"
919,919,919,"S","S","S"
920,920,920,"T","T","T"
921,921,921,"A","A","A"
922,922,922,"B","B","B"
923,923,923,"C","C","C"
924,924,924,"D","D","D"
925,925,925,"E","E","E"
926,926,926,"F","F","F"
927,927,927,"G","G","G"
928,928,928,"H","H","H"
929,929,929,"I","I","I"
930,930,930,"J","J","J"
931,931,931,"K","K","K"
932,932,932,"L","L","L"
933,933,933,"M","M","M"
934,934,934,"N","N","N"
935,935,935,"O","O","O"
936,936,936,"P","P","P"
937,937,937,"Q","Q","Q"
938,938,938,"R","R","R"
939,939,939,"S","S","S"
940,940,940,"T","T","T"
941,941,941,"A","A","A"
942,942,942,"B","B","B"
943,943,943,"C","C","C"
944,944,944,"D","D","D"
945,945,945,"E","E","E"
946,946,946,"F","F","F"
947,947,947,"G","G","G"
948,948,948,"H","H","H"
949,949,949,"I","I","I"
950,950,950,"J","J","J"
951,951,951,"K","K","K"
952,952,952,"L","L","L"
953,953,953,"M","M","M"
954,954,954,"N","N","N"
955,955,955,"O","O","O"
956,956,956,"P","P","P"
957,957,957,"Q","Q","Q"
958,958,958,"R","R","R"
959,959,959,"S","S","S"
960,960,960,"T","T","T"
961,961,961,"A","A","A"
962,962,962,"B","B","B"
963,963,963,"C","C","C"
964,964,964,"D","D","D"
965,965,965,"E","E","E"
966,966,966,"F","F","F"
967,967,967,"G","G","G"
968,968,968,"H","H","H"
969,969,969,"I","I","I"
970,970,970,"J","J","J"
971,971,971,"K","K","K"
972,972,972,"L","L","L"
973,973,973,"M","M","M"
974,974,974,"N","N","N"
975,975,975,"O","O","O"
976,976,976,"P","P","P"
977,977,977,"Q","Q","Q"
978,978,978,"R","R","R"
979,979,979,"S","S","S"
980,980,980,"T","T","T"
981,981,981,"A","A","A"
982,982,982,"B","B","B"
983,983,983,"C","C","C"
984,984,984,"D","D","D"
985,985,985,"E","E","E"
986,986,986,"F","F","F"
