"id","payment_amount","payment_method","supplier_id","user_id","created_at","updated_at","created_date","created_at_ymd"
39,"173.37","Visa",1,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-16,"20240916"
40,"203.65","MasterCard",3,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-01,"20240401"
41,"256.15","MasterCard",3,6,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-02-21,"20240221"
42,"209.6","Visa",6,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-19,"20241219"
43,"539.05","MasterCard",4,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-21,"20241121"
44,"540.23","Discover Card",5,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-22,"20241022"
45,"161.05","Visa",1,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-02-12,"20240212"
46,"263.04","Visa Retired",6,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-07,"20241007"
47,"228.24","MasterCard",6,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-18,"20240718"
48,"559.64","MasterCard",5,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-01,"20240701"
49,"427.48","Visa",3,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-02-19,"20240219"
50,"394.1","Discover Card",1,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-03,"20240503"
51,"457.53","Visa",4,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-03-29,"20240329"
52,"315.15","Discover Card",2,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-24,"20240424"
53,"479.89","Visa",6,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-29,"20241229"
54,"514.44","MasterCard",4,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-17,"20241117"
55,"509.59","Discover Card",3,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-08-07,"20240807"
56,"570.76","Visa",2,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-05,"20240705"
57,"138.18","American Express",6,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-15,"20241115"
58,"130.98","Visa",6,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-11,"20240411"
59,"360.55","Visa Retired",6,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-24,"20240424"
60,"323.9","MasterCard",1,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-06-27,"20240627"
61,"139.25","Visa",4,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-29,"20240929"
62,"287.72","American Express",1,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-28,"20240528"
63,"289.73","Visa",3,6,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-03-16,"20240316"
64,"484.65","Visa Retired",2,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-13,"20241013"
65,"449.95","Visa",2,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-02-14,"20240214"
66,"559.77","Visa Retired",6,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-25,"20241225"
67,"235.53","Visa",5,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-19,"20241119"
68,"269.17","Visa",1,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2025-01-15,"20250115"
69,"143.22","MasterCard",4,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-08-12,"20240812"
70,"535.03","Visa",6,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-08-31,"20240831"
71,"425","MasterCard",3,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-13,"20240413"
72,"562.36","JCB",2,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-13,"20240513"
73,"546.47","MasterCard",2,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-02-20,"20240220"
74,"493.53","Visa",2,6,"2024-02-07 14:19:29","2024-02-07 14:19:29",2025-01-18,"20250118"
75,"554.39","MasterCard",5,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-06-07,"20240607"
76,"323.57","American Express",1,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-02-23,"20240223"
77,"230.36","Visa",2,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-08-28,"20240828"
78,"464.59","MasterCard",1,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-19,"20240719"
79,"251.59","Visa",3,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-17,"20240417"
80,"232","Visa",1,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-22,"20240422"
81,"453.55","Discover Card",5,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-02,"20241202"
82,"557.82","Visa",4,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-02-18,"20240218"
83,"542.02","MasterCard",5,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-08-09,"20240809"
84,"115.94","Visa",1,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-06-01,"20240601"
85,"156.04","Visa",5,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-03-26,"20240326"
86,"477.34","JCB",1,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-23,"20241023"
87,"478.45","Discover Card",1,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-07,"20241107"
88,"161.92","Visa",5,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-18,"20241118"
89,"447.13","Visa",4,6,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-15,"20241015"
90,"198.98","American Express",5,6,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-17,"20240417"
91,"341.15","MasterCard",3,6,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-27,"20240727"
92,"276.92","MasterCard",6,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-06-30,"20240630"
93,"177.6","MasterCard",4,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-23,"20241123"
94,"169.92","Visa",2,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2025-01-03,"20250103"
95,"295.86","Visa",4,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-07,"20240907"
96,"144.57","Visa",3,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-07,"20240407"
97,"240.62","MasterCard",1,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-11,"20240911"
98,"578.18","Discover Card",6,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-22,"20241022"
99,"145.28","Visa",5,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-11,"20241011"
100,"458.29","Visa",4,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-04,"20241204"
